	date	time	speaker	text
435	August 10th	6:59:52 AM	mahoonie    	Israel
436	August 10th	7:00:05 AM	mahoonie    	To visit my sister who got married
437	August 10th	7:01:18 AM	AshleyReyes1	oh yes
438	August 10th	7:01:58 AM	mahoonie    	You remember?
439	August 10th	7:03:18 AM	AshleyReyes1	yes
440	August 10th	7:03:22 AM	AshleyReyes1	now yes
441	August 10th	7:03:39 AM	mahoonie    	Cool
442	August 10th	7:05:34 AM	mahoonie    	Do you have brothers sisters?
443	August 10th	7:06:25 AM	AshleyReyes1	I have no native sisters and brothers
444	August 10th	7:06:54 AM	mahoonie    	What do you mean by native?
445	August 10th	7:07:21 AM	AshleyReyes1	from my mom and my dad lol
446	August 10th	7:07:58 AM	mahoonie    	So do you have non native brothers and sisters?
447	August 10th	7:08:33 AM	AshleyReyes1	yes
448	August 10th	7:09:19 AM	mahoonie    	How’s that?
449	August 10th	7:09:44 AM	AshleyReyes1	what? hahahh
450	August 10th	7:10:24 AM	mahoonie    	How come you have non native siblings?
451	August 10th	7:10:53 AM	AshleyReyes1	my parents have brothers and sisters
452	August 10th	7:11:10 AM	mahoonie    	Oh
453	August 10th	7:11:17 AM	AshleyReyes1	hahahah
454	August 10th	7:11:31 AM	mahoonie    	XD
455	August 10th	7:11:43 AM	mahoonie    	So you’re an only child
456	August 10th	7:12:02 AM	mahoonie    	How do you like that?
457	August 10th	7:12:31 AM	AshleyReyes1	I was happy with everything hehe
458	August 10th	7:12:42 AM	AshleyReyes1	I didn't think about it
459	August 10th	7:13:13 AM	mahoonie    	That’s a good approach to life
460	August 10th	7:13:51 AM	mahoonie    	Also you got all the attention from your parents which is probably awesome
461	August 10th	7:14:00 AM	AshleyReyes1	yes
462	August 10th	7:18:52 AM	mahoonie    	Will you be here tomorrow?
463	August 10th	7:19:14 AM	AshleyReyes1	yes
464	August 10th	7:19:20 AM	AshleyReyes1	the same time
465	August 10th	7:19:45 AM	mahoonie    	It’s early here. Until when will you be here tomorrow?
466	August 10th	7:20:23 AM	AshleyReyes1	until 9pm UK time ;)
467	August 10th	7:27:58 AM	mahoonie    	Cool
468	August 10th	7:38:05 AM	mahoonie    	Do you have curly hair originally
469	August 10th	7:38:38 AM	AshleyReyes1	no
470	August 10th	7:38:50 AM	AshleyReyes1	they may curl, but not much
471	August 10th	7:39:21 AM	mahoonie    	I thought I saw traces of curls
472	August 10th	7:40:02 AM	AshleyReyes1	these are not natural curls
473	August 10th	7:40:29 AM	mahoonie    	You curled it?
474	August 10th	7:40:36 AM	mahoonie    	For the weekend?
475	August 10th	7:41:56 AM	AshleyReyes1	this is difficult to explain, I did it today, but it shouldn't be very noticeable
476	August 10th	7:43:34 AM	mahoonie    	You’re beautiful no matter what
477	August 10th	7:44:09 AM	AshleyReyes1	oh thanks
478	August 10th	7:44:13 AM	mahoonie    	What did you try to do?
479	August 10th	7:45:31 AM	AshleyReyes1	nothing, it's weird that I'm discussing this with a man hahah
480	August 10th	7:46:02 AM	AshleyReyes1	I wanted to create what I did ;)
481	August 10th	7:46:41 AM	mahoonie    	Artist!
482	August 11th	7:47:07 AM	AshleyReyes1	hahahahAugust 11th
483	August 11th	8:49:59 AM	mahoonie    	Hello beautiful woman
484	August 11th	8:51:26 AM	AshleyReyes1	hi
485	August 11th	8:52:18 AM	mahoonie    	How are you? (Love the hair btw)
486	August 11th	8:53:44 AM	AshleyReyes1	thanks
487	August 11th	8:53:58 AM	AshleyReyes1	I'm pretty good, aren't you?
488	August 11th	8:56:11 AM	mahoonie    	Yes, I’m good, how did you know
489	August 11th	8:57:11 AM	AshleyReyes1	hahahah
490	August 11th	8:57:23 AM	mahoonie    	How’s your day going?
491	August 11th	8:57:45 AM	AshleyReyes1	a very pleasant day, and how are you?
492	August 11th	8:58:01 AM	mahoonie    	Just started
493	August 11th	8:58:20 AM	mahoonie    	But already going well ;)
494	August 11th	8:58:21 AM	AshleyReyes1	I hope you have a good day too
495	August 11th	8:58:31 AM	AshleyReyes1	it's great
496	August 11th	8:59:26 AM	mahoonie    	Did you do a lot of studying and stuff?
497	August 11th	8:59:58 AM	AshleyReyes1	yes
498	August 11th	9:00:20 AM	AshleyReyes1	I'll come back later
499	August 11th	9:00:27 AM	mahoonie    	No
500	August 11th	9:00:30 AM	mahoonie    	Wait
501	August 11th	9:00:40 AM	mahoonie    	Can we do c2c?
502	August 11th	9:01:14 AM	AshleyReyes1	yes
503	August 11th	9:01:20 AM	mahoonie    	When?
504	August 11th	9:01:33 AM	AshleyReyes1	can you wait a while?
505	August 11th	9:01:41 AM	AshleyReyes1	about an hour?
506	August 11th	9:01:52 AM	mahoonie    	Ok busy woman
507	August 11th	9:01:57 AM	AshleyReyes1	thank you
508	August 11th	9:02:00 AM	AshleyReyes1	:)
509	August 11th	10:06:56 AM	mahoonie    	Welcome back
510	August 11th	10:07:36 AM	AshleyReyes1	yes ;)
511	August 11th	10:08:40 AM	mahoonie    	Not again
512	August 11th	10:17:45 AM	AshleyReyes1	here
513	August 11th	10:19:16 AM	mahoonie    	For real this time?
514	August 11th	10:19:27 AM	AshleyReyes1	yes
515	August 11th	10:19:53 AM	mahoonie    	Do you want to cum for me in c2c?
516	August 11th	10:20:13 AM	AshleyReyes1	yes
517	August 11th	10:20:16 AM	AshleyReyes1	and you?
518	August 11th	10:20:26 AM	mahoonie    	Very much
519	August 11th	10:20:54 AM	AshleyReyes1	;)
520	August 11th	10:23:23 AM	mahoonie    	One sec
521	August 11th	10:23:29 AM	AshleyReyes1	yes
522	August 11th	10:25:16 AM	mahoonie    	Hello
523	August 11th	10:25:17 AM	AshleyReyes1	hiii
524	August 11th	10:25:32 AM	mahoonie    	Do you want to play?
525	August 11th	10:25:37 AM	AshleyReyes1	yes
526	August 11th	10:25:46 AM	mahoonie    	Whenever you're ready
527	August 11th	10:26:01 AM	AshleyReyes1	now
528	August 11th	10:26:10 AM	AshleyReyes1	we are here
529	August 11th	10:26:33 AM	AshleyReyes1	I like looking at you so much
530	August 11th	10:26:47 AM	mahoonie    	Not as much as like looking at you
531	August 11th	10:26:55 AM	AshleyReyes1	oh
532	August 11th	10:27:05 AM	mahoonie    	Especially with that hair curls
533	August 11th	10:27:16 AM	AshleyReyes1	thank you
534	August 11th	10:27:42 AM	mahoonie    	Do you want to take stuff off?
535	August 11th	10:27:51 AM	AshleyReyes1	yes
536	August 11th	10:28:34 AM	mahoonie    	Whenever you're ready
537	August 11th	10:28:45 AM	AshleyReyes1	now
538	August 11th	10:29:39 AM	mahoonie    	Wow
539	August 11th	10:30:09 AM	AshleyReyes1	are you without clothes
540	August 11th	10:30:11 AM	AshleyReyes1	?
541	August 11th	10:30:13 AM	mahoonie    	How are you both beautiful and sexy
542	August 11th	10:30:18 AM	mahoonie    	Almost
543	August 11th	10:30:24 AM	AshleyReyes1	thank you
544	August 11th	10:30:41 AM	AshleyReyes1	I want to see you all
545	August 11th	10:30:59 AM	mahoonie    	Wait I want to touch myself first
546	August 11th	10:31:06 AM	AshleyReyes1	yes
547	August 11th	10:31:06 AM	mahoonie    	But I want you to do the same
548	August 11th	10:31:16 AM	AshleyReyes1	okay
549	August 11th	10:31:29 AM	mahoonie    	Can you take the top off too?
550	August 11th	10:31:38 AM	AshleyReyes1	nooo
551	August 11th	10:31:43 AM	mahoonie    	Please
552	August 11th	10:31:44 AM	AshleyReyes1	:hideeyes:
553	August 11th	10:31:48 AM	mahoonie    	I took my top off
554	August 11th	10:31:49 AM	AshleyReyes1	I can't
555	August 11th	10:31:54 AM	AshleyReyes1	hahahah
556	August 11th	10:32:01 AM	mahoonie    	It was my birthday
557	August 11th	10:32:16 AM	AshleyReyes1	I really can't take it off
558	August 11th	10:32:32 AM	AshleyReyes1	flash tits
559	August 11th	10:32:35 AM	mahoonie    	Ok
560	August 11th	10:32:42 AM	AshleyReyes1	this is maximum
561	August 11th	10:32:46 AM	AshleyReyes1	thank you
562	August 11th	10:33:32 AM	mahoonie    	Quick flash is fine
563	August 11th	10:33:41 AM	mahoonie    	And I can pay if you want for more
564	August 11th	10:33:47 AM	AshleyReyes1	noo
565	August 11th	10:33:58 AM	AshleyReyes1	that's not the point, but thanks
566	August 11th	10:34:51 AM	mahoonie    	That was amazing
567	August 11th	10:34:55 AM	AshleyReyes1	thanks
568	August 11th	10:35:04 AM	mahoonie    	Do you want to touch yourself?
569	August 11th	10:35:10 AM	AshleyReyes1	yes
570	August 11th	10:35:16 AM	mahoonie    	Please do
571	August 11th	10:35:20 AM	AshleyReyes1	if you want it?
572	August 11th	10:35:23 AM	AshleyReyes1	okay
573	August 11th	10:35:57 AM	mahoonie    	I took my socks off but it's cold
574	August 11th	10:36:08 AM	AshleyReyes1	okay hehe
575	August 11th	10:40:49 AM	AshleyReyes1	i'm so wet
576	August 11th	10:41:02 AM	mahoonie    	I'm about to explode!
577	August 11th	10:41:16 AM	AshleyReyes1	oh
578	August 11th	10:42:55 AM	AshleyReyes1	i'm ready
579	August 11th	10:43:01 AM	AshleyReyes1	and you?
580	August 11th	10:43:03 AM	mahoonie    	Me too
581	August 11th	10:43:08 AM	AshleyReyes1	soo
582	August 11th	10:44:16 AM	AshleyReyes1	thank you
583	August 11th	10:44:29 AM	mahoonie    	Do you want me to cum?
584	August 11th	10:44:35 AM	AshleyReyes1	yeeees
585	August 11th	10:44:45 AM	AshleyReyes1	do it
586	August 11th	10:44:55 AM	AshleyReyes1	I want to see
587	August 11th	10:45:08 AM	mahoonie    	Come closer to the screen
588	August 11th	10:45:51 AM	AshleyReyes1	yeaaah
589	August 11th	10:45:57 AM	mahoonie    	Thank you!
590	August 11th	10:46:01 AM	AshleyReyes1	thank youu
591	August 11th	10:46:06 AM	AshleyReyes1	:heart:
592	August 11th	10:46:08 AM	mahoonie    	You're amazing!
593	August 11th	10:46:14 AM	AshleyReyes1	you too
594	August 11th	11:06:51 AM	mahoonie    	Do you see the feedback we give you btw?
595	August 11th	11:08:31 AM	AshleyReyes1	no
596	August 11th	11:08:33 AM	AshleyReyes1	hahahah
597	August 11th	11:08:45 AM	AshleyReyes1	I don't check my profile at all
598	August 11th	11:09:20 AM	mahoonie    	You got 4.5 stars
599	August 11th	11:09:53 AM	AshleyReyes1	I'll have to see hehehe
600	August 11th	11:09:55 AM	mahoonie    	I don’t know who’s the asshole that gave you less than 5 stars but I’ll find him and tell him what I think
601	August 11th	11:10:29 AM	AshleyReyes1	HAHAHAH oh no
602	August 11th	11:11:17 AM	AshleyReyes1	here simply after words-I am not Nude, some send me and offended leave
603	August 11th	11:11:50 AM	mahoonie    	Ok
604	August 11th	11:12:05 AM	AshleyReyes1	but thank you
605	August 11th	11:12:21 AM	mahoonie    	I think non nude makes you even more interesting
606	August 11th	11:12:23 AM	AshleyReyes1	beautiful knight
607	August 11th	11:12:33 AM	mahoonie    	I mean I’d love to see you naked
608	August 11th	11:12:42 AM	mahoonie    	But I enjoy this so much
609	August 11th	11:14:13 AM	AshleyReyes1	and thank you for it
610	August 11th	11:14:41 AM	AshleyReyes1	I am very pleased that a man like you says such tender words to me
611	August 11th	11:15:29 AM	mahoonie    	A man like me?
612	August 11th	11:15:43 AM	mahoonie    	I can also talk dirty if you want though
613	August 11th	11:17:46 AM	AshleyReyes1	what do you mean?
614	August 11th	11:18:14 AM	AshleyReyes1	I do not like what I wrote? because of this language barrier it is very difficult for me to Express myself beautifully and clearly
615	August 11th	11:19:01 AM	mahoonie    	I think you speak beautifully
616	August 11th	11:19:02 AM	AshleyReyes1	in any case, I wanted to say that you are so beautiful, amazing and kind and in my room, spending time with me, it is more important to me than those who are dissatisfied with something
617	August 11th	11:19:05 AM	AshleyReyes1	ooh
618	August 11th	11:19:11 AM	AshleyReyes1	thanks
619	August 11th	11:19:24 AM	mahoonie    	<3
620	August 11th	11:19:51 AM	mahoonie    	I wish I knew what language you speak so that I could learn it
621	August 11th	11:21:50 AM	AshleyReyes1	I think I'd rather learn English myself
622	August 11th	11:21:59 AM	AshleyReyes1	by the way, you're married, aren't you?
623	August 11th	11:22:25 AM	mahoonie    	Why, do you want to marry me?
624	August 11th	11:23:23 AM	AshleyReyes1	that's not what I meant lol
625	August 11th	11:23:40 AM	AshleyReyes1	do you have a wife? I thought I saw your ring
626	August 11th	11:27:38 AM	mahoonie    	I’ll answer if you tell me where you’re from :)
627	August 11th	11:28:16 AM	AshleyReyes1	I realized that Yes :)
628	August 11th	11:30:06 AM	mahoonie    	Why do you want to know?
629	August 11th	11:30:39 AM	AshleyReyes1	I'm just curious, sorry if I'm prying into something else
630	August 11th	11:30:48 AM	AshleyReyes1	I like everything ;)
631	August 11th	11:36:17 AM	mahoonie    	Sorry I’m not responsive, I’m in a meeting
632	August 11th	11:37:59 AM	AshleyReyes1	everything all right
633	August 11th	11:46:37 AM	mahoonie    	I’m very flattered that you checked for a ring
634	August 11th	11:47:25 AM	mahoonie    	I don’t think it should matter if I’m married or not (until we decide if we want to get married :)
635	August 11th	11:48:50 AM	mahoonie    	What do you think?
636	August 11th	11:49:28 AM	AshleyReyes1	hahaha
637	August 11th	11:49:38 AM	AshleyReyes1	interesting position
638	August 11th	11:50:07 AM	AshleyReyes1	I just wanted to know about all this, no more, I think we can leave this question
639	August 11th	11:50:09 AM	AshleyReyes1	;)
640	August 11th	11:52:17 AM	mahoonie    	Do you have anyone?
641	August 11th	11:52:25 AM	AshleyReyes1	no
642	August 11th	11:52:38 AM	AshleyReyes1	I wouldn't be here. probably
643	August 11th	11:54:44 AM	mahoonie    	Are you looking for someone?
644	August 11th	11:55:49 AM	AshleyReyes1	I think my man will find me, not obsessed with it
645	August 11th	11:56:24 AM	mahoonie    	Interesting position ;)
646	August 11th	11:57:48 AM	mahoonie    	Sorry for the intimate questions, but you started it
647	August 11th	11:57:58 AM	mahoonie    	:)
648	August 11th	12:02:41 PM	AshleyReyes1	yes :)
649	August 11th	12:03:54 PM	mahoonie    	In any case, I really like what we have, and I’m happy to talk about any intimate stuff with you (even about where you’re from ;)
650	August 11th	12:07:11 PM	AshleyReyes1	hahahah me too
651	August 11th	12:07:32 PM	AshleyReyes1	but this is too intimate ;)
652	August 11th	12:14:01 PM	mahoonie    	Well when you’ll want to marry me you’ll have to tell me where to come :)
653	August 11th	12:23:59 PM	AshleyReyes1	hahahah
654	August 11th	12:24:30 PM	AshleyReyes1	I don't think I can marry you until you get a divorce ;)
655	August 11th	12:34:32 PM	mahoonie    	Hmmm... too soon to tell I guess.
656	August 17th	12:37:23 PM	AshleyReyes1	yesAugust 17th
657	August 17th	7:45:58 AM	mahoonie    	Good morning beautiful
658	August 17th	7:47:33 AM	AshleyReyes1	hi
659	August 17th	8:01:01 AM	mahoonie    	You always go for so long
660	August 17th	8:01:40 AM	AshleyReyes1	yes.. sorry
661	August 17th	8:02:04 AM	mahoonie    	Vacation?
662	August 17th	8:02:10 AM	AshleyReyes1	no
663	August 17th	8:02:32 AM	AshleyReyes1	there were things, I'm leaving soon for good, the last days are here
664	August 17th	8:02:41 AM	mahoonie    	Why?
665	August 17th	8:02:44 AM	AshleyReyes1	if anything, don't lose me ;)
666	August 17th	8:03:07 AM	AshleyReyes1	I didn't come here for a long time. killing time, studies soon begin
667	August 17th	8:03:19 AM	AshleyReyes1	not at all up to these entertainments
668	August 17th	8:03:31 AM	mahoonie    	Can we keep in touch somehow?
669	August 17th	8:03:44 AM	mahoonie    	Are you on any social platform?
670	August 17th	8:04:08 AM	AshleyReyes1	I'll tell you about it when I decide to come here for the last time
671	August 17th	8:04:22 AM	mahoonie    	What if I miss that?
672	August 17th	8:04:36 AM	AshleyReyes1	no
673	August 17th	8:04:47 AM	AshleyReyes1	I can write you a message
674	August 17th	8:05:07 AM	mahoonie    	When are your studies starting?
675	August 17th	8:05:31 AM	AshleyReyes1	in September
676	August 17th	8:08:07 AM	mahoonie    	You don’t like the entertainment business?
677	August 17th	8:09:17 AM	AshleyReyes1	I don't need it, I want a calm, ordinary life, without members and requests to show boobs :D
678	August 17th	8:09:43 AM	mahoonie    	Sorry :(
679	August 17th	8:09:57 AM	AshleyReyes1	oh noo
680	August 17th	8:10:23 AM	AshleyReyes1	I wasn't talking about you now, I'm ready to look at you forever ;)
681	August 17th	8:10:42 AM	mahoonie    	Don’t say that and then leave me
682	August 17th	8:11:39 AM	AshleyReyes1	have I offended you now?
683	August 17th	8:12:24 AM	mahoonie    	No
684	August 17th	8:13:03 AM	AshleyReyes1	anyway sorry
685	August 17th	8:13:12 AM	mahoonie    	The opposite
686	August 17th	8:13:25 AM	mahoonie    	That was the best compliment I ever got
687	August 17th	8:14:14 AM	AshleyReyes1	what complement? :)
688	August 17th	8:14:37 AM	mahoonie    	You are ready to look at me forever
689	August 17th	8:14:45 AM	AshleyReyes1	aaah
690	August 17th	8:14:51 AM	mahoonie    	I’m ready to look at you forever too
691	August 17th	8:14:53 AM	AshleyReyes1	it's true
692	August 17th	8:14:59 AM	AshleyReyes1	aaww
693	August 17th	8:21:16 AM	mahoonie    	Do you tell that to many people?
694	August 17th	8:21:56 AM	AshleyReyes1	that I want to see you?
695	August 17th	8:22:20 AM	mahoonie    	That you want to see them forever
696	August 17th	8:22:39 AM	AshleyReyes1	nooo
697	August 17th	8:22:52 AM	AshleyReyes1	the first time I said this to a man here
698	August 17th	8:23:09 AM	mahoonie    	And outside of here?
699	August 17th	8:23:22 AM	AshleyReyes1	real life?
700	August 17th	8:23:28 AM	mahoonie    	Yes
701	August 17th	8:24:05 AM	AshleyReyes1	now I don't have such a man
702	August 17th	8:25:10 AM	mahoonie    	:)
703	August 17th	8:29:47 AM	mahoonie    	Well, if you want such a man you should come to the US
704	August 17th	8:30:01 AM	AshleyReyes1	oh
705	August 17th	8:30:19 AM	AshleyReyes1	i think your woman won't like it ;)
706	August 17th	8:31:38 AM	mahoonie    	If what we have is real I don’t think it matters if I have a woman or not
707	August 17th	8:32:43 AM	AshleyReyes1	this is important to me, sorry
708	August 17th	8:33:07 AM	AshleyReyes1	sex is one thing here, another thing in real life, with all the ensuing feelings ;)
709	August 17th	8:39:36 AM	mahoonie    	Than why am I starting to get feelings here :)
710	August 17th	8:40:07 AM	AshleyReyes1	are you serious? :)
711	August 17th	8:40:22 AM	mahoonie    	Maybe
712	August 17th	8:49:28 AM	mahoonie    	I really like you is all I’m saying
713	August 17th	8:50:04 AM	AshleyReyes1	I am pleased, I like you too
714	August 17th	10:04:45 AM	mahoonie    	You keep leaving me
715	August 17th	10:05:38 AM	AshleyReyes1	sorry
716	August 17th	10:06:02 AM	mahoonie    	Are you on another platform?
717	August 17th	10:06:35 AM	AshleyReyes1	yes a little
718	August 17th	10:07:12 AM	mahoonie    	Which one?
719	August 17th	10:07:26 AM	AshleyReyes1	I can't say ;)
720	August 17th	10:07:41 AM	mahoonie    	A site like this?
721	August 17th	10:09:01 AM	AshleyReyes1	yes
722	August 17th	10:10:13 AM	mahoonie    	Please tell, misterios woman
723	August 17th	10:10:30 AM	mahoonie    	Why is it a secret?
724	August 17th	10:10:54 AM	AshleyReyes1	these are the rules of the site and my work
725	August 17th	10:11:30 AM	mahoonie    	Is it better than this one?
726	August 17th	10:11:51 AM	AshleyReyes1	what makes you think that?
727	August 17th	10:12:13 AM	mahoonie    	You always leave this one for the other one
728	August 17th	10:12:26 AM	mahoonie    	That’s cheating ;)
729	August 17th	10:13:46 AM	AshleyReyes1	what do I leave? :)
730	August 17th	10:13:58 AM	mahoonie    	This platform
731	August 17th	10:14:32 AM	AshleyReyes1	everywhere there are privats and I have to leave this site to go to private on another ;)
732	August 17th	10:15:03 AM	mahoonie    	But most of the time you get privates there it seems
733	August 17th	10:15:41 AM	AshleyReyes1	in different ways at all
734	August 17th	10:16:07 AM	mahoonie    	Is Ashley your real name? I tried to find you with this name and couldn’t
735	August 17th	10:17:52 AM	AshleyReyes1	where were you looking for me?
736	August 17th	10:18:00 AM	AshleyReyes1	that's my real name
737	August 17th	10:18:34 AM	mahoonie    	Camsoda
738	August 17th	10:18:43 AM	mahoonie    	I’m Jordan btw
